Level,Institute,Year,Location,Modules
BSc Biological Sciences,UEA,2020-2023,"Norwich, UK", "2nd Year Modules; Data Science, Biochemistry, Evolutionary biology, Behavioural ecology, Microbiology, Human physiology"
BSc Biological Sciences,UEA,2020-2023,"Norwich, UK", "1st Year Modules; Skills for Biologists, Biodiversity, molecular biology and genetics, evolution behaviour and ecology, cell biology and physiology, biological chemistry"
