binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Kunkeliella psilotoclada,Spain,Europe,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Kyllinga chrysanthoides,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Lachanodes arborea,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Lachanodes arborea,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct in the Wild,Biological Resource Use,1
Lachanodes arborea,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Lachanodes arborea,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct in the Wild,Natural System Modifications,1
Lachanodes arborea,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,1
Lepidium amissum,New Zealand,Oceania,Flowering Plant,1900-1919,Extinct,Unknown,1
Lepidium obtusatum,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Lepidium obtusatum,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Lepidium obtusatum,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Licania caldasiana,Colombia,South America,Flowering Plant,NA,Extinct,Unknown,1
Lijndenia brenanii,Tanzania,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Lijndenia brenanii,Tanzania,Africa,Flowering Plant,1960-1979,Extinct,Invasive Species,1
Lijndenia brenanii,Tanzania,Africa,Flowering Plant,1960-1979,Extinct,Energy Production & Mining,1
Lijndenia ramiflora,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Lijndenia ramiflora,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Linderniella boutiqueana,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Linderniella boutiqueana,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Linderniella boutiqueana,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Energy Production & Mining,1
Linderniella ugandensis,Uganda,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Logania depressa,New Zealand,Oceania,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Logania depressa,New Zealand,Oceania,Flowering Plant,Before 1900,Extinct,Natural System Modifications,1
Loudetiopsis baldwinii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Loudetiopsis baldwinii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Loudetiopsis baldwinii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Loudetiopsis baldwinii,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Transportation Corridor,1
Lysimachia minoricensis,Spain,Europe,Flowering Plant,1920-1939,Extinct in the Wild,Biological Resource Use,1
Maclurodendron parviflorum,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Madhuca insignis,India,Asia,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Madhuca insignis,India,Asia,Flowering Plant,2000-2020,Extinct,Biological Resource Use,1
Madhuca insignis,India,Asia,Flowering Plant,2000-2020,Extinct,Commercial Development,1
Madhuca markleeana,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Madhuca markleeana,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Magnolia dixonii,Ecuador,South America,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Magnolia dixonii,Ecuador,South America,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Magnolia dixonii,Ecuador,South America,Flowering Plant,1960-1979,Extinct,Transportation Corridor,1
Magnolia emarginata,Haiti,North America,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Magnolia emarginata,Haiti,North America,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Magnolia emarginata,Haiti,North America,Flowering Plant,1980-1999,Extinct,Climate Change,1
Magnolia emarginata,Haiti,North America,Flowering Plant,1980-1999,Extinct,Geological Events,1
Magnolia wolfii,Colombia,South America,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Manettia canescens,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Manettia holwayi,Ecuador,South America,Flowering Plant,1920-1939,Extinct,Unknown,1
Mangifera casturi,Indonesia,Asia,Flowering Plant,1980-1999,Extinct in the Wild,Agriculture & Aquaculture,1
Mangifera rubropetala,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Unknown,1
Manilkara gonavensis,Haiti,North America,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Manilkara gonavensis,Haiti,North America,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Manilkara gonavensis,Haiti,North America,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Margaritaria hispidula,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Margaritaria hispidula,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Margaritaria hispidula,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Marsdenia weberlingiana,New Caledonia,Oceania,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Matelea ecuadorensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Maxillaria broadwayi,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Maxillaria broadwayi,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Maytenus manabiensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Melanochyla woodiana,Malaysia,Asia,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Melanochyla woodiana,Malaysia,Asia,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Melhania polyneura,Tanzania,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Melicope cruciata,United States,North America,Flowering Plant,2000-2020,Extinct,Unknown,1
Melicope fatraina,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Melicope fatraina,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Melicope haleakalae,United States,North America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Melicope haleakalae,United States,North America,Flowering Plant,1900-1919,Extinct,Invasive Species,1
Melicope macropus,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Melicope nealae,United States,North America,Flowering Plant,1960-1979,Extinct,Invasive Species,1
Melicope obovata,United States,North America,Flowering Plant,NA,Extinct,Unknown,1
Melicope paniculata,United States,North America,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Melicope paniculata,United States,North America,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Melpomene brevipes,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Agriculture & Aquaculture,1
Memecylon isaloense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Memecylon isaloense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Memecylon isaloense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Human Intrusions,1
Memecylon isaloense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Mesanthemum cupricola,Congo,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Mezoneuron ouenensis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Energy Production & Mining,1
Mezoneuron ouenensis,New Caledonia,Oceania,Flowering Plant,Before 1900,Extinct,Human Intrusions,1
Miconia abscondita,Haiti,North America,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Miconia abscondita,Haiti,North America,Flowering Plant,1920-1939,Extinct,Climate Change,1
Miconia longisetosa,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Miconia scabra,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Microglossa caudata,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Microglossa caudata,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Microglossa caudata,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Mikania iserniana,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Mikania iserniana,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Mikania seemannii,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Mimosa kitrokala,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Mimosa kitrokala,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Musa insularimontana,Taiwan,Asia,Flowering Plant,1900-1919,Extinct in the Wild,Pollution,1
Musa insularimontana,Taiwan,Asia,Flowering Plant,1900-1919,Extinct in the Wild,Unknown,1
Musa yamiensis,Taiwan,Asia,Flowering Plant,2000-2020,Extinct,Energy Production & Mining,1
Musa yamiensis,Taiwan,Asia,Flowering Plant,2000-2020,Extinct,Climate Change,1
Musa zaifui,China,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Musa zaifui,China,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Musa zaifui,China,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Pollution,1
Musa zaifui,China,Asia,Flowering Plant,2000-2020,Extinct in the Wild,Geological Events,1
Myosotis laingii,New Zealand,Oceania,Flowering Plant,1900-1919,Extinct,Unknown,1
Myrcia skeldingii,Jamaica,North America,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Myrcia skeldingii,Jamaica,North America,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Myrcia skeldingii,Jamaica,North America,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Invasive Species,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Energy Production & Mining,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Human Intrusions,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Pollution,1
Myriophyllum axilliflorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Nanochilus palembanicus,Indonesia,Asia,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Nanochilus palembanicus,Indonesia,Asia,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Nectandra caudatoacuminata,Haiti,North America,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Nectandra caudatoacuminata,Haiti,North America,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Nectandra caudatoacuminata,Haiti,North America,Flowering Plant,1920-1939,Extinct,Invasive Species,1
Nectandra caudatoacuminata,Haiti,North America,Flowering Plant,1920-1939,Extinct,Climate Change,1
Nectandra caudatoacuminata,Haiti,North America,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Neomacounia nitida,Canada,North America,Mosses,Before 1900,Extinct,Unknown,1
Nesiota elliptica,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Nesiota elliptica,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct,Biological Resource Use,1
Nesiota elliptica,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Nesiota elliptica,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,2000-2020,Extinct,Unknown,1
Nidorella burundiensis,Burundi,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Nobregaea latinervis,Portugal,Europe,Mosses,1940-1959,Extinct,Agriculture & Aquaculture,1
Nobregaea latinervis,Portugal,Europe,Mosses,1940-1959,Extinct,Commercial Development,1
Noronhia populifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Noronhia populifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Nymphaea thermarum,Rwanda,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Commercial Development,1
Nymphaea thermarum,Rwanda,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Natural System Modifications,1
Ochrosia brownii,French Polynesia,Oceania,Flowering Plant,2000-2020,Extinct,Unknown,1
Ochrosia fatuhivensis,French Polynesia,Oceania,Flowering Plant,2000-2020,Extinct,Unknown,1
Ochrosia tahitensis,French Polynesia,Oceania,Flowering Plant,NA,Extinct,Unknown,1
Oeceoclades seychellarum,Seychelles,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Oldenlandia adscensionis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Oldenlandia adscensionis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Onosma griersonii,Bhutan,Asia,Flowering Plant,1980-1999,Extinct,Commercial Development,1
Onosma griersonii,Bhutan,Asia,Flowering Plant,1980-1999,Extinct,Transportation Corridor,1
Ormosia howii,China,Asia,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Ormosia howii,China,Asia,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Ornithogalum visianicum,Croatia,Europe,Flowering Plant,1900-1919,Extinct,Unknown,1
Orthosiphon scedastophyllus,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Orthosiphon schliebenii,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Otophora unilocularis,China,Asia,Flowering Plant,1920-1939,Extinct,Unknown,1
Panicum pearsonii,Namibia,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Pausinystalia brachythyrsum,Cameroon,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Pentagonia orthoneura,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Peperomia dauleana,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Peperomia petraea,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Peponidium ihosyense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Peponidium ihosyense,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Philodendron balaoanum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Phycodrina elegans,Ecuador,South America,Algae,1960-1979,Extinct,Climate Change,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Phyllanthus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Energy Production & Mining,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Phyllanthus felicis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Phyllanthus mimicus,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Phyllanthus mimicus,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Phyllostegia kahiliensis,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Phyllostegia knudsenii,United States,North America,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Invasive Species,1
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Climate Change,1
Phyllostegia mannii,United States,North America,Flowering Plant,2000-2020,Extinct in the Wild,Natural System Modifications,1
Physalis muelleri,Mexico,North America,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Physalis tehuacanensis,Mexico,North America,Flowering Plant,1960-1979,Extinct,Climate Change,1
Pimpinella robynsii,Burundi,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Piper molliusculum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Pittosporum leroyanum,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Unknown,1
Plectranthus scopulicola,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Pluchea glutinosa,Yemen,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Podocarpus perrieri,Madagascar,Africa,Conifer,1940-1959,Extinct,Agriculture & Aquaculture,1
Podocarpus perrieri,Madagascar,Africa,Conifer,1940-1959,Extinct,Biological Resource Use,1
Polygala quitensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Polystachya acuminata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Polystachya acuminata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Polystachya canaliculata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Polystachya canaliculata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Polystachya erica-lanzae,Rwanda,Africa,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Polystachya erica-lanzae,Rwanda,Africa,Flowering Plant,1980-1999,Extinct,Human Intrusions,1
Polystachya porphyrochila,Tanzania,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Polystachya rugosilabia,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Pouteria stenophylla,Brazil,South America,Flowering Plant,NA,Extinct,Commercial Development,1
Pradosia argentea,Peru,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,Extinct,Agriculture & Aquaculture,1
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,Extinct,Biological Resource Use,1
Pradosia glaziovii,Brazil,South America,Flowering Plant,NA,Extinct,Commercial Development,1
Pradosia mutisii,Colombia,South America,Flowering Plant,NA,Extinct,Unknown,1
Premna aureolepidota,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Premna aureolepidota,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Prestonia schumanniana,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Psiadia schweinfurthii,Yemen,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Psidium dumetorum,Jamaica,North America,Flowering Plant,1960-1979,Extinct,Unknown,1
Psychotria veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,Extinct,Energy Production & Mining,1
Pterospermum elmeri,Philippines,Asia,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Biological Resource Use,1
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Energy Production & Mining,1
Pterospermum havilandii,Malaysia,Asia,Flowering Plant,Before 1900,Extinct in the Wild,Natural System Modifications,1
Pterospermum parvifolium,Indonesia,Asia,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Puccinellia gussonei,Italy,Europe,Flowering Plant,2000-2020,Extinct,Invasive Species,1
Pycnandra micrantha,New Caledonia,Oceania,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Pycnandra micrantha,New Caledonia,Oceania,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Rauvolfia nukuhivensis,French Polynesia,Oceania,Flowering Plant,2000-2020,Extinct,Unknown,1
Rhamnus mildbraedii,Rwanda,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Rhipidoglossum orientalis,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Rhododendron kanehirai,Taiwan,Asia,Flowering Plant,1980-1999,Extinct in the Wild,Natural System Modifications,1
Rhododendron wilhelminae,Indonesia,Asia,Flowering Plant,1900-1919,Extinct,Climate Change,1
Rhynchosia braunii,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Rhynchosia calobotrya,Tanzania,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Rhynchosia ledermannii,Cameroon,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Rhynchosia ledermannii,Cameroon,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Rhynchospora hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Pollution,1
Ritchiea afzelii,Guinea,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Ritchiea afzelii,Guinea,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Roupala tobagensis,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Roupala tobagensis,Trinidad and Tobago,South America,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Commercial Development,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Sabicea bracteolata,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Sanicula kauaiensis,United States,North America,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Santalum fernandezianum,Chile,South America,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Saurauia minutiflora,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Saurauia minutiflora,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Scaphium burkillfilii,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Schiedea amplexicaulis,United States,North America,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Schiedea attenuata,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Invasive Species,1
Schiedea attenuata,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Geological Events,1
Schizenterospermum analamerense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Schizenterospermum analamerense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Semecarpus angulatus,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Semecarpus sandakanus,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Senecio antaisaka,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Senecio antaisaka,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Senecio antambolorum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Senecio leucopeplus,Argentina,South America,Flowering Plant,2000-2020,Extinct in the Wild,Agriculture & Aquaculture,1
Senecio leucopeplus,Argentina,South America,Flowering Plant,2000-2020,Extinct in the Wild,Human Intrusions,1
Senecio lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Senecio lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Biological Resource Use,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Human Intrusions,1
Senecio navugabensis,Uganda,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Senna suarezensis,Madagascar,Africa,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Senna suarezensis,Madagascar,Africa,Flowering Plant,2000-2020,Extinct,Biological Resource Use,1
Sicyos villosus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Silene perlmanii,United States,North America,Flowering Plant,1980-1999,Extinct in the Wild,Invasive Species,1
Siphocampylus loxensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Solanum semicoalitum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Sophora toromiro,Chile,South America,Flowering Plant,1920-1939,Extinct in the Wild,Unknown,1
Sphyrospermum spruceanum,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Invasive Species,1
Sporobolus durus,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,Before 1900,Extinct,Geological Events,1
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Stachyandra imberbis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Stachytarpheta fallax,Cabo Verde,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Stellaria elatinoides,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Stellaria elatinoides,New Zealand,Oceania,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
