binomial_name,country,continent,group,year_last_seen,red_list_category,threat_type,threatened
Diospyros ketsensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Diospyros ketsensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Diospyros ketsensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Diospyros subtrinervis,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Diospyros subtrinervis,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Diospyros subtrinervis,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Natural System Modifications,1
Diplazium laffanianum,Bermuda,North America,Ferns and Allies,1900-1919,Extinct in the Wild,Commercial Development,1
Diplazium laffanianum,Bermuda,North America,Ferns and Allies,1900-1919,Extinct in the Wild,Invasive Species,1
Diplazium laffanianum,Bermuda,North America,Ferns and Allies,1900-1919,Extinct in the Wild,Human Intrusions,1
Diplazium laffanianum,Bermuda,North America,Ferns and Allies,1900-1919,Extinct in the Wild,Pollution,1
Diplazium laffanianum,Bermuda,North America,Ferns and Allies,1900-1919,Extinct in the Wild,Transportation Corridor,1
Diplazium ulugurense,Tanzania,Africa,Ferns and Allies,1960-1979,Extinct,Agriculture & Aquaculture,1
Discocactus subterraneo-proliferans,Brazil,South America,Flowering Plant,1980-1999,Extinct in the Wild,Agriculture & Aquaculture,1
Disperis bosseri,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Disperis bosseri,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Disperis egregia,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Disperis egregia,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Invasive Species,1
Dissotis longisepala,Burundi,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Dombeya macropoda,Madagascar,Africa,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Dombeya macropoda,Madagascar,Africa,Flowering Plant,1980-1999,Extinct,Biological Resource Use,1
Dombeya micrantha,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Dombeya micrantha,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Dombeya pauciflora,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Agriculture & Aquaculture,1
Dombeya pauciflora,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Natural System Modifications,1
Dombeya sakamaliensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Dombeya sakamaliensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Dombeya sely,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Dombeya sely,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Dombeya seyrigiana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Dombeya seyrigiana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Dombeya seyrigiana,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Dombeya tavia,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Dombeya tavia,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Dombeya tavia,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Dombeya tavia,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Dombeya tsiandrensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Dombeya tsiandrensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Dombeya tsiandrensis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Dorstenia bicaudata,Tanzania,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Drosera allantostigma,Australia,Oceania,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Drosera allantostigma,Australia,Oceania,Flowering Plant,2000-2020,Extinct,Transportation Corridor,1
Drosera allantostigma,Australia,Oceania,Flowering Plant,2000-2020,Extinct,Natural System Modifications,1
Dryopteris ascensionis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Ferns and Allies,1960-1979,Extinct,Invasive Species,1
Dryopteris ascensionis,"Saint Helena, Ascension and Tristan da Cunha",Africa,Ferns and Allies,1960-1979,Extinct,Geological Events,1
Dubautia kenwoodii,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Dubautia kenwoodii,United States,North America,Flowering Plant,1980-1999,Extinct,Climate Change,1
Dubautia kenwoodii,United States,North America,Flowering Plant,1980-1999,Extinct,Geological Events,1
Dypsis brittiana,Madagascar,Africa,Flowering Plant,2000-2020,Extinct,Biological Resource Use,1
Egletes humifusa,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Biological Resource Use,1
Elaeocarpus occidentalis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Agriculture & Aquaculture,1
Elaeocarpus occidentalis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Biological Resource Use,1
Elaeocarpus occidentalis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Energy Production & Mining,1
Elaeocarpus occidentalis,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Natural System Modifications,1
Elaphandra retroflexa,Ecuador,South America,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Elaphoglossum gracilipes,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Agriculture & Aquaculture,1
Elaphoglossum polytrichum,Ecuador,South America,Ferns and Allies,Before 1900,Extinct,Agriculture & Aquaculture,1
Eleocharis lepta,South Africa,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Emicocarpus fissifolius,Mozambique,Africa,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Emilia djalonensis,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Emilia djalonensis,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Emilia djalonensis,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Energy Production & Mining,1
Emilia djalonensis,Guinea,Africa,Flowering Plant,1900-1919,Extinct,Natural System Modifications,1
Encephalartos brevifoliolatus,South Africa,Africa,Cycad,2000-2020,Extinct in the Wild,Biological Resource Use,1
Encephalartos cerinus,South Africa,Africa,Cycad,1980-1999,Extinct,Biological Resource Use,1
Encephalartos hirsutus,South Africa,Africa,Cycad,2000-2020,Extinct,Unknown,1
Encephalartos inopinus,South Africa,Africa,Cycad,2000-2020,Extinct,Biological Resource Use,1
Encephalartos nubimontanus,South Africa,Africa,Cycad,2000-2020,Extinct in the Wild,Biological Resource Use,1
Encephalartos relictus,Swaziland,Africa,Cycad,1960-1979,Extinct in the Wild,Biological Resource Use,1
Encephalartos woodii,South Africa,Africa,Cycad,1900-1919,Extinct in the Wild,Biological Resource Use,1
Endiandra scrobiculata,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Commercial Development,1
Endiandra scrobiculata,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Human Intrusions,1
Epidendrum lanceolatum,Trinidad and Tobago,South America,Flowering Plant,Before 1900,Extinct,Energy Production & Mining,1
Eragrostis fosbergii,United States,North America,Flowering Plant,1980-1999,Extinct,Invasive Species,1
Eragrostis fosbergii,United States,North America,Flowering Plant,1980-1999,Extinct,Climate Change,1
Eragrostis fosbergii,United States,North America,Flowering Plant,1980-1999,Extinct,Natural System Modifications,1
Eremospatha barendii,Cameroon,Africa,Flowering Plant,2000-2020,Extinct,Agriculture & Aquaculture,1
Eremospatha barendii,Cameroon,Africa,Flowering Plant,2000-2020,Extinct,Biological Resource Use,1
Eriocaulon caesium,Trinidad and Tobago,South America,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Eriocaulon hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Agriculture & Aquaculture,1
Eriocaulon hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Commercial Development,1
Eriocaulon hildebrandtii,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Human Intrusions,1
Eriocaulon parvicapitulatum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Eriocaulon parvicapitulatum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Commercial Development,1
Eriocaulon parvicapitulatum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Human Intrusions,1
Eriocaulon parvicapitulatum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Transportation Corridor,1
Erythroxylum echinodendron,Cuba,North America,Flowering Plant,NA,Extinct in the Wild,Agriculture & Aquaculture,1
Erythroxylum echinodendron,Cuba,North America,Flowering Plant,NA,Extinct in the Wild,Biological Resource Use,1
Erythroxylum echinodendron,Cuba,North America,Flowering Plant,NA,Extinct in the Wild,Commercial Development,1
Etlingera heyneana,Indonesia,Asia,Flowering Plant,1920-1939,Extinct,Agriculture & Aquaculture,1
Etlingera heyneana,Indonesia,Asia,Flowering Plant,1920-1939,Extinct,Commercial Development,1
Etlingera newmanii,Malaysia,Asia,Flowering Plant,1980-1999,Extinct,Agriculture & Aquaculture,1
Eugenia albida,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Eugenia guayaquilensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Eugenia scheffleri,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Agriculture & Aquaculture,1
Eulophia grandidieri,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Biological Resource Use,1
Eulophia stenopetala,Bhutan,Asia,Flowering Plant,Before 1900,Extinct,Unknown,1
Euphorbia alcicornis,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Natural System Modifications,1
Euphorbia boinensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Biological Resource Use,1
Euphorbia boinensis,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Natural System Modifications,1
Euphorbia capuronii,Madagascar,Africa,Flowering Plant,1940-1959,Extinct in the Wild,Biological Resource Use,1
